,select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
108,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933694011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Adhesive Sheets & Sprays,Adhesive Sprays,,
109,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890761,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Adhesive Waxing,,,
110,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890741,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Art Glues & Pastes,,,
111,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890751,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Arts & Crafts Tape,,,
112,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090711011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Craft Glue Guns & Sticks,,,
113,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898851,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Craft Glue Guns & Sticks,Glue Guns,,
114,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890771,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Fabric Adhesives,,,
115,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/300341,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Laminating Supplies,,,
116,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090816011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Adhesives,Mounting Boards,,,
117,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298712011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Brads,,,,
118,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/17568924011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Clock Kits,,,,
119,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090818011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Craft Bells,,,,
120,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933771011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Craft Foam,,,,
121,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090822011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Craft Sticks,,,,
122,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896551,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,,,,
123,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896561,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Art Knives & Blades,,,
124,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/689393011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Craft Shears,,,
125,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262643011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Cutting Mats,,,
126,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896601,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Glass Cutting Tools,,,
127,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896611,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Mat Cutters & Blades,,,
128,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/490584011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Paper Trimmers,,,
129,TRUE,https://www.amazon.com/gp/most-wished-for/office-products/490588011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Paper Trimmers,Rotary Trimmers,,
